date, timestamp, heart rate
2019-06-13 13:42:30 +0000, 00:03:26, 95
2019-06-13 13:42:31 +0000, 00:03:27, 94
2019-06-13 13:42:33 +0000, 00:03:28, 93
2019-06-13 13:42:33 +0000, 00:03:29, 94
2019-06-13 13:42:34 +0000, 00:03:30, 96
2019-06-13 13:42:35 +0000, 00:03:31, 97
2019-06-13 13:42:36 +0000, 00:03:32, 98
2019-06-13 13:42:37 +0000, 00:03:33, 100
2019-06-13 13:42:38 +0000, 00:03:34, 107
2019-06-13 13:42:39 +0000, 00:03:35, 118
2019-06-13 13:42:41 +0000, 00:03:36, 119
2019-06-13 13:42:41 +0000, 00:03:37, 120
2019-06-13 13:42:42 +0000, 00:03:38, 118
2019-06-13 13:42:43 +0000, 00:03:39, 118
2019-06-13 13:42:44 +0000, 00:03:40, 117
2019-06-13 13:42:45 +0000, 00:03:41, 116
2019-06-13 13:42:46 +0000, 00:03:42, 115
2019-06-13 13:42:47 +0000, 00:03:43, 103
2019-06-13 13:42:48 +0000, 00:03:44, 101
2019-06-13 13:42:49 +0000, 00:03:45, 98
2019-06-13 13:42:50 +0000, 00:03:46, 94
2019-06-13 13:42:51 +0000, 00:03:47, 92
2019-06-13 13:42:52 +0000, 00:03:48, 91
2019-06-13 13:42:53 +0000, 00:03:49, 92
2019-06-13 13:42:54 +0000, 00:03:50, 92
2019-06-13 13:42:55 +0000, 00:03:51, 91
2019-06-13 13:42:56 +0000, 00:03:52, 90
2019-06-13 13:42:57 +0000, 00:03:53, 87
2019-06-13 13:42:58 +0000, 00:03:54, 87
2019-06-13 13:42:59 +0000, 00:03:55, 90
2019-06-13 13:43:00 +0000, 00:03:56, 91
2019-06-13 13:43:01 +0000, 00:03:57, 92
2019-06-13 13:43:02 +0000, 00:03:58, 93
2019-06-13 13:43:03 +0000, 00:03:59, 97
2019-06-13 13:43:04 +0000, 00:04:00, 99
2019-06-13 13:43:05 +0000, 00:04:01, 99
2019-06-13 13:43:06 +0000, 00:04:02, 101
2019-06-13 13:43:07 +0000, 00:04:03, 105
2019-06-13 13:43:08 +0000, 00:04:04, 108
2019-06-13 13:43:09 +0000, 00:04:05, 109
2019-06-13 13:43:10 +0000, 00:04:06, 108
2019-06-13 13:43:11 +0000, 00:04:07, 108
2019-06-13 13:43:12 +0000, 00:04:08, 110
2019-06-13 13:43:13 +0000, 00:04:09, 112
2019-06-13 13:43:14 +0000, 00:04:10, 115
2019-06-13 13:43:15 +0000, 00:04:11, 117
2019-06-13 13:43:16 +0000, 00:04:12, 117
2019-06-13 13:43:17 +0000, 00:04:13, 117
2019-06-13 13:43:18 +0000, 00:04:14, 118
2019-06-13 13:43:19 +0000, 00:04:15, 118
2019-06-13 13:43:20 +0000, 00:04:16, 118
2019-06-13 13:43:21 +0000, 00:04:16, 118
2019-06-13 13:43:23 +0000, 00:04:18, 118
2019-06-13 13:43:24 +0000, 00:04:19, 118
2019-06-13 13:43:24 +0000, 00:04:19, 117
2019-06-13 13:43:25 +0000, 00:04:20, 116
2019-06-13 13:43:26 +0000, 00:04:21, 116
2019-06-13 13:43:27 +0000, 00:04:22, 116
2019-06-13 13:43:28 +0000, 00:04:23, 115
2019-06-13 13:43:29 +0000, 00:04:24, 113
2019-06-13 13:43:30 +0000, 00:04:25, 110
2019-06-13 13:43:31 +0000, 00:04:26, 110
2019-06-13 13:43:32 +0000, 00:04:27, 113
2019-06-13 13:43:33 +0000, 00:04:28, 113
2019-06-13 13:43:34 +0000, 00:04:29, 112
2019-06-13 13:43:35 +0000, 00:04:30, 108
2019-06-13 13:43:36 +0000, 00:04:31, 108
2019-06-13 13:43:37 +0000, 00:04:32, 119
2019-06-13 13:43:38 +0000, 00:04:33, 157
2019-06-13 13:43:39 +0000, 00:04:34, 185
2019-06-13 13:43:40 +0000, 00:04:35, 197
2019-06-13 13:43:41 +0000, 00:04:36, 205
2019-06-13 13:43:42 +0000, 00:04:37, 210
2019-06-13 13:43:43 +0000, 00:04:38, 206
2019-06-13 13:43:44 +0000, 00:04:39, 194
2019-06-13 13:43:45 +0000, 00:04:40, 182
2019-06-13 13:43:46 +0000, 00:04:41, 171
2019-06-13 13:43:47 +0000, 00:04:42, 170
2019-06-13 13:43:48 +0000, 00:04:43, 165
2019-06-13 13:43:49 +0000, 00:04:44, 161
2019-06-13 13:43:50 +0000, 00:04:45, 161
2019-06-13 13:43:51 +0000, 00:04:46, 161
2019-06-13 13:43:52 +0000, 00:04:47, 161
2019-06-13 13:43:53 +0000, 00:04:48, 161
2019-06-13 13:43:55 +0000, 00:04:50, 161
2019-06-13 13:43:55 +0000, 00:04:50, 161
2019-06-13 13:43:56 +0000, 00:04:51, 161
2019-06-13 13:43:57 +0000, 00:04:52, 161
2019-06-13 13:43:58 +0000, 00:04:53, 161
2019-06-13 13:43:59 +0000, 00:04:54, 161
2019-06-13 13:44:00 +0000, 00:04:55, 161
2019-06-13 13:44:02 +0000, 00:04:57, 161
2019-06-13 13:44:02 +0000, 00:04:57, 161
2019-06-13 13:44:03 +0000, 00:04:58, 161
2019-06-13 13:44:04 +0000, 00:04:59, 159
2019-06-13 13:44:05 +0000, 00:05:00, 143
2019-06-13 13:44:06 +0000, 00:05:01, 139
2019-06-13 13:44:07 +0000, 00:05:02, 136
2019-06-13 13:44:08 +0000, 00:05:03, 134
2019-06-13 13:44:09 +0000, 00:05:04, 131
2019-06-13 13:44:10 +0000, 00:05:05, 129
2019-06-13 13:44:11 +0000, 00:05:06, 130
2019-06-13 13:44:12 +0000, 00:05:07, 128
2019-06-13 13:44:13 +0000, 00:05:08, 127
2019-06-13 13:44:14 +0000, 00:05:09, 124
2019-06-13 13:44:15 +0000, 00:05:10, 121
2019-06-13 13:44:16 +0000, 00:05:11, 118
