date, rr, since start
2019-06-13 13:47:48 +0000, 408, 518216
2019-06-13 13:47:49 +0000, 482, 518698
2019-06-13 13:47:49 +0000, 654, 519352
2019-06-13 13:47:50 +0000, 598, 519950
2019-06-13 13:47:50 +0000, 515, 520465
2019-06-13 13:47:51 +0000, 482, 520947
2019-06-13 13:47:51 +0000, 447, 521394
2019-06-13 13:47:52 +0000, 420, 521814
2019-06-13 13:47:52 +0000, 403, 522217
2019-06-13 13:47:53 +0000, 738, 522955
2019-06-13 13:47:53 +0000, 355, 523310
2019-06-13 13:47:53 +0000, 339, 523649
2019-06-13 13:47:53 +0000, 322, 523971
2019-06-13 13:47:54 +0000, 308, 524279
2019-06-13 13:47:54 +0000, 301, 524580
2019-06-13 13:47:54 +0000, 293, 524873
2019-06-13 13:47:55 +0000, 289, 525162
2019-06-13 13:47:55 +0000, 284, 525446
2019-06-13 13:47:55 +0000, 278, 525724
2019-06-13 13:47:55 +0000, 273, 525997
2019-06-13 13:47:56 +0000, 277, 526274
2019-06-13 13:47:56 +0000, 286, 526560
2019-06-13 13:47:56 +0000, 297, 526857
2019-06-13 13:47:57 +0000, 292, 527149
2019-06-13 13:47:57 +0000, 303, 527452
2019-06-13 13:47:57 +0000, 299, 527751
2019-06-13 13:47:57 +0000, 301, 528052
2019-06-13 13:47:58 +0000, 299, 528351
2019-06-13 13:47:58 +0000, 297, 528648
2019-06-13 13:47:58 +0000, 305, 528953
2019-06-13 13:47:59 +0000, 299, 529252
2019-06-13 13:47:59 +0000, 306, 529558
2019-06-13 13:47:59 +0000, 311, 529869
2019-06-13 13:48:00 +0000, 357, 530226
2019-06-13 13:48:00 +0000, 368, 530594
2019-06-13 13:48:01 +0000, 370, 530964
2019-06-13 13:48:01 +0000, 356, 531320
2019-06-13 13:48:01 +0000, 339, 531659
2019-06-13 13:48:02 +0000, 318, 531977
2019-06-13 13:48:02 +0000, 324, 532301
2019-06-13 13:48:02 +0000, 322, 532623
2019-06-13 13:48:03 +0000, 327, 532950
2019-06-13 13:48:03 +0000, 345, 533295
2019-06-13 13:48:03 +0000, 367, 533662
2019-06-13 13:48:04 +0000, 412, 534074
2019-06-13 13:48:04 +0000, 382, 534456
2019-06-13 13:48:05 +0000, 387, 534843
2019-06-13 13:48:05 +0000, 387, 535230
2019-06-13 13:48:05 +0000, 400, 535630
2019-06-13 13:48:06 +0000, 411, 536041
2019-06-13 13:48:06 +0000, 411, 536452
2019-06-13 13:48:07 +0000, 436, 536888
2019-06-13 13:48:07 +0000, 458, 537346
2019-06-13 13:48:08 +0000, 504, 537850
2019-06-13 13:48:08 +0000, 512, 538362
2019-06-13 13:48:09 +0000, 527, 538889
2019-06-13 13:48:09 +0000, 579, 539468
2019-06-13 13:48:10 +0000, 482, 539950
2019-06-13 13:48:10 +0000, 450, 540400
2019-06-13 13:48:12 +0000, 429, 540829
2019-06-13 13:48:12 +0000, 419, 541248
2019-06-13 13:48:12 +0000, 433, 541681
2019-06-13 13:48:12 +0000, 468, 542149
2019-06-13 13:48:12 +0000, 508, 542657
2019-06-13 13:48:13 +0000, 460, 543117
2019-06-13 13:48:13 +0000, 446, 543563
2019-06-13 13:48:14 +0000, 437, 544000
2019-06-13 13:48:14 +0000, 437, 544437
2019-06-13 13:48:15 +0000, 435, 544872
2019-06-13 13:48:15 +0000, 459, 545331
2019-06-13 13:48:16 +0000, 467, 545798
2019-06-13 13:48:16 +0000, 531, 546329
2019-06-13 13:48:17 +0000, 574, 546903
2019-06-13 13:48:18 +0000, 625, 547528
2019-06-13 13:48:18 +0000, 623, 548151
2019-06-13 13:48:19 +0000, 664, 548815
2019-06-13 13:48:19 +0000, 538, 549353
2019-06-13 13:48:20 +0000, 502, 549855
2019-06-13 13:48:20 +0000, 464, 550319
2019-06-13 13:48:20 +0000, 435, 550754
2019-06-13 13:48:21 +0000, 415, 551169
2019-06-13 13:48:21 +0000, 411, 551580
2019-06-13 13:48:22 +0000, 413, 551993
2019-06-13 13:48:22 +0000, 422, 552415
2019-06-13 13:48:23 +0000, 420, 552835
2019-06-13 13:48:23 +0000, 425, 553260
2019-06-13 13:48:23 +0000, 421, 553681
2019-06-13 13:48:24 +0000, 407, 554088
2019-06-13 13:48:24 +0000, 403, 554491
2019-06-13 13:48:25 +0000, 405, 554896
2019-06-13 13:48:25 +0000, 401, 555297
2019-06-13 13:48:25 +0000, 395, 555692
2019-06-13 13:48:26 +0000, 377, 556069
2019-06-13 13:48:26 +0000, 367, 556436
2019-06-13 13:48:26 +0000, 377, 556813
2019-06-13 13:48:27 +0000, 381, 557194
2019-06-13 13:48:27 +0000, 380, 557574
2019-06-13 13:48:28 +0000, 384, 557958
2019-06-13 13:48:28 +0000, 387, 558345
2019-06-13 13:48:28 +0000, 391, 558736
2019-06-13 13:48:29 +0000, 388, 559124
2019-06-13 13:48:29 +0000, 388, 559512
2019-06-13 13:48:30 +0000, 389, 559901
2019-06-13 13:48:30 +0000, 378, 560279
2019-06-13 13:48:30 +0000, 367, 560646
2019-06-13 13:48:31 +0000, 357, 561003
2019-06-13 13:48:31 +0000, 346, 561349
2019-06-13 13:48:31 +0000, 342, 561691
2019-06-13 13:48:32 +0000, 331, 562022
2019-06-13 13:48:32 +0000, 329, 562351
2019-06-13 13:48:32 +0000, 323, 562674
2019-06-13 13:48:33 +0000, 322, 562996
2019-06-13 13:48:33 +0000, 330, 563326
2019-06-13 13:48:33 +0000, 330, 563656
2019-06-13 13:48:34 +0000, 323, 563979
2019-06-13 13:48:34 +0000, 321, 564300
2019-06-13 13:48:34 +0000, 321, 564621
2019-06-13 13:48:34 +0000, 319, 564940
2019-06-13 13:48:35 +0000, 317, 565257
2019-06-13 13:48:35 +0000, 319, 565576
2019-06-13 13:48:35 +0000, 324, 565900
2019-06-13 13:48:36 +0000, 331, 566231
2019-06-13 13:48:36 +0000, 363, 566594
2019-06-13 13:48:37 +0000, 394, 566988
2019-06-13 13:48:37 +0000, 437, 567425
2019-06-13 13:48:38 +0000, 423, 567848
2019-06-13 13:48:38 +0000, 458, 568306
2019-06-13 13:48:39 +0000, 498, 568804
2019-06-13 13:48:39 +0000, 502, 569306
2019-06-13 13:48:40 +0000, 470, 569776
2019-06-13 13:48:40 +0000, 511, 570287
2019-06-13 13:48:41 +0000, 452, 570739
